name,category,basePrice
Player 1,Batsman,1
Player 2,Bowler,1
Player 3,All-Rounder,1
Player 4,Wicketkeeper,1
Player 5,Batsman,1
Player 6,Bowler,1
Player 7,All-Rounder,1
Player 8,Batsman,2
Player 9,Bowler,1
Player 10,Batsman,1
Player 11,All-Rounder,1
Player 12,Bowler,2
Player 13,Wicketkeeper,1
Player 14,Batsman,1
Player 15,Bowler,1
Player 16,All-Rounder,1
Player 17,Batsman,1
Player 18,Bowler,1
Player 19,Batsman,1
Player 20,All-Rounder,2
Player 21,Bowler,1
Player 22,Wicketkeeper,1
Player 23,Batsman,1
Player 24,Bowler,1
Player 25,All-Rounder,1
Player 26,Batsman,1
Player 27,Bowler,1
Player 28,All-Rounder,1
